"KundenNr";"Zeitstempel";"PLZ";"Schulform";"Museum"
58546;"2015-10-01 09:00:00";22419;"Stadtteilschule";"Hamburger Kunsthalle"
196102;"2015-10-08 09:30:00";22081;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
112861;"2015-04-16 12:00:00";22111;"Stadtteilschule";"Museum für Hamburgische Geschichte"
114771;"2015-10-01 15:30:00";22609;"Stadtteilschule";"Hamburger Kunsthalle"
47871;"2015-05-18 09:30:00";22159;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
201605;"2015-06-19 09:30:00";21031;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
160923;"2016-06-13 09:30:00";22307;"Stadtteilschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
36921;"2016-09-13 10:00:00";21079;"Gymnasium";"Museum der Arbeit "
121436;"2013-04-16 10:00:00";22303;"Grundschule";"Zoologisches Museum im CeNaK"
208590;"2015-07-07 11:30:00";22159;"Stadtteilschule";"BallinStadt - das Auswanderermuseum Hamburg"
84106;"2015-11-10 10:00:00";22527;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
117156;"2015-04-29 14:30:00";22081;"Gymnasium";"Hamburger Kunsthalle"
193398;"2013-06-14 10:00:00";21077;"Sonderschule";"Zoologisches Museum im CeNaK"
204468;"2016-01-26 10:00:00";21107;"Stadtteilschule";"Museum für Hamburgische Geschichte"
447;"2015-07-06 09:30:00";20249;"Gymnasium";"Bucerius Kunst Forum"
205505;"2015-07-09 12:30:00";22337;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
197553;"2014-03-11 10:30:00";20251;"Grundschule";"HSV-Museum"
208522;"2015-07-06 11:15:00";22589;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
194868;"2015-07-08 11:00:00";22049;"Stadtteilschule";"Museum für Kunst und Gewerbe "
193461;"2014-11-12 11:00:00";20097;"Grundschule";"Hamburger Kunsthalle"
206932;"2015-04-20 15:00:00";22395;"Stadtteilschule";"BallinStadt - das Auswanderermuseum Hamburg"
103426;"2013-04-30 10:00:00";21077;"Grundschule";"Museum für Völkerkunde Hamburg"
208212;"2015-09-10 09:30:00";22305;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
5586;"2015-09-22 11:00:00";22297;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
3806;"2015-09-25 10:00:00";22049;"Stadtteilschule";"Museum für Hamburgische Geschichte"
208522;"2015-07-06 11:15:00";22459;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
206975;"2015-05-21 10:00:00";22303;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
209698;"2015-10-15 12:00:00";22159;"Stadtteilschule";"Museum für Völkerkunde Hamburg"
197602;"2016-05-30 11:30:00";22523;"Stadtteilschule";"Sammlung Falckenberg - Deichtorhallen Hamburg"
1069;"2016-07-14 11:45:00";22547;"Gymnasium";"Hamburger Kunsthalle"
128571;"2015-06-10 13:00:00";22605;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
101201;"2015-06-02 10:00:00";21077;"Sonderschule";"KZ-Gedenkstätte Neuengamme"
198316;"2015-05-22 09:00:00";22159;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
177748;"2015-09-16 10:00:00";22339;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
177748;"2015-09-16 14:00:00";22339;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
10231;"2016-10-05 09:30:00";21079;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
87411;"2015-11-30 09:30:00";21147;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
198722;"2015-05-20 09:30:00";22587;"Grundschule";"Bucerius Kunst Forum"
194428;"2015-05-22 10:30:00";22605;"Gymnasium";"Sammlung Falckenberg - Deichtorhallen Hamburg"
114771;"2015-10-01 16:30:00";22609;"Stadtteilschule";"Hamburger Kunsthalle"
63266;"2016-06-02 10:00:00";22045;"Sonderschule";"Museum der Arbeit "
54397;"2016-02-18 12:30:00";22119;"Stadtteilschule";"Museum für Hamburgische Geschichte"
202026;"2015-07-10 12:00:00";20251;"Stadtteilschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
214854;"2016-03-03 12:00:00";21075;"Stadtteilschule";"Museum für Kunst und Gewerbe "
10231;"2016-10-05 09:30:00";21079;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
205387;"2015-04-14 12:00:00";22359;"Grundschule";"Bucerius Kunst Forum"
204042;"2016-01-04 10:00:00";22043;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
203977;"2015-05-06 11:30:00";21033;"Stadtteilschule";"Museum für Kunst und Gewerbe "
75401;"2015-07-03 10:00:00";22529;"Gymnasium";"Museum für Hamburgische Geschichte"
198967;"2015-10-01 11:30:00";21077;"Gemeinschaftsschule";"Museum der Arbeit "
207792;"2015-06-02 10:00:00";21033;"Stadtteilschule";"Museum für Kunst und Gewerbe "
163703;"2015-06-10 14:00:00";22765;"Stadtteilschule";"Museum für Kunst und Gewerbe "
204874;"2016-07-05 11:30:00";21149;"Stadtteilschule";"Hamburger Kunsthalle"
72181;"2015-06-08 11:00:00";22457;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
207285;"2015-06-16 11:00:00";20259;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
197698;"2016-05-09 12:30:00";22767;"Stadtteilschule";"Bucerius Kunst Forum"
206263;"2015-06-09 10:30:00";22159;"Gemeinschaftsschule";"Museum der Arbeit "
177748;"2015-09-16 10:00:00";22339;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
196102;"2015-10-08 09:30:00";22081;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
31596;"2013-06-14 10:00:00";22299;"Grundschule";"Hamburger Kunsthalle"
105261;"2013-04-24 09:30:00";21031;"Grundschule";"Museum für Bergedorf und die Vierlande"
128571;"2015-06-10 13:00:00";22605;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
204035;"2016-09-06 10:00:00";22041;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
208034;"2015-07-07 09:00:00";21029;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
207099;"2016-07-19 10:15:00";21079;"Stadtteilschule";"Hamburger Kunsthalle"
10766;"2015-04-30 14:30:00";22549;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
145923;"2015-10-13 10:00:00";22587;"Gymnasium";"Altonaer Museum "
202231;"2015-11-24 10:00:00";22115;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
195398;"2016-05-11 11:15:00";22529;"Gymnasium";"Museum der Arbeit "
112066;"2015-09-03 10:00:00";22307;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
163703;"2016-02-05 14:00:00";22765;"Stadtteilschule";"Hamburger Kunsthalle"
117876;"2015-12-17 11:00:00";22399;"Stadtteilschule";"Hamburger Kunsthalle"
160958;"2016-06-17 11:00:00";22587;"Stadtteilschule";"Jenisch Haus"
191357;"2016-11-18 09:30:00";20144;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
205780;"2016-04-05 11:30:00";22337;"Gymnasium";"Museum für Hamburgische Geschichte"
209688;"2016-02-15 10:00:00";22523;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
208317;"2015-06-16 11:30:00";22761;"Förderschule";"Bucerius Kunst Forum"
194860;"2016-02-23 12:30:00";22763;"Stadtteilschule";"Museum für Kunst und Gewerbe "
235;"2015-11-04 10:00:00";22609;"Stadtteilschule";"BallinStadt - das Auswanderermuseum Hamburg"
191700;"2015-10-14 10:00:00";20535;"Stadtteilschule";"Museum für Hamburgische Geschichte"
206699;"2015-04-20 14:00:00";22767;"Stadtteilschule";"HSV-Museum"
200298;"2014-06-06 10:00:00";22305;"Grundschule";"Hafenmuseum Hamburg"
7161;"2015-07-06 09:30:00";22549;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
209405;"2016-07-15 11:30:00";20251;"Gymnasium";"Medizinhistorisches Museum Hamburg"
208500;"2015-07-02 12:30:00";20144;"Gymnasium";"Hamburger Kunsthalle"
196592;"2016-01-07 11:00:00";22303;"Stadtteilschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
132966;"2015-03-20 10:00:00";22587;"Stadtteilschule";"Museum für Kunst und Gewerbe "
8881;"2016-02-04 11:00:00";22589;"Gymnasium";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
205119;"2016-07-04 14:30:00";22527;"Gemeinschaftsschule";"Museum der Arbeit "
210357;"2015-10-14 09:30:00";22043;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
172203;"2015-07-14 10:30:00";22159;"Stadtteilschule";"Museum für Kunst und Gewerbe "
207968;"2015-07-08 10:30:00";20099;"Stadtteilschule";"Hamburger Kunsthalle"
205199;"2015-05-26 10:30:00";22043;"Stadtteilschule";"Museum für Kunst und Gewerbe "
200478;"2016-05-04 14:30:00";22605;"Gymnasium";"Bucerius Kunst Forum"
